[[34m2026-04-24 01:57:29[0m] (step=0000520) Train Loss mse: 0.2451, Train Loss ce: 0.0343, Train Steps/Sec: 0.17, Tokens/Sec: 31.57k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23244, Sample Lens: [5817, 5803, 5818, 5806], ETA: 7.33h, 
[[34m2026-04-24 01:58:28[0m] (step=0000530) Train Loss mse: 0.2168, Train Loss ce: 0.0357, Train Steps/Sec: 0.17, Tokens/Sec: 31.63k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23240, Sample Lens: [5816, 5803, 5816, 5805], ETA: 7.30h, 
[[34m2026-04-24 01:59:27[0m] (step=0000540) Train Loss mse: 0.2414, Train Loss ce: 0.0316, Train Steps/Sec: 0.17, Tokens/Sec: 31.58k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23252, Sample Lens: [5808, 5818, 5808, 5818], ETA: 7.29h, 
[[34m2026-04-24 02:00:26[0m] (step=0000550) Train Loss mse: 0.2259, Train Loss ce: 0.0345, Train Steps/Sec: 0.17, Tokens/Sec: 31.60k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23228, Sample Lens: [5804, 5816, 5803, 5805], ETA: 7.27h, 
[[34m2026-04-24 02:01:25[0m] (step=0000560) Train Loss mse: 0.2339, Train Loss ce: 0.0305, Train Steps/Sec: 0.17, Tokens/Sec: 31.65k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23236, Sample Lens: [5815, 5805, 5813, 5803], ETA: 7.24h, 
[[34m2026-04-24 02:02:23[0m] (step=0000570) Train Loss mse: 0.2043, Train Loss ce: 0.0324, Train Steps/Sec: 0.17, Tokens/Sec: 31.61k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23235, Sample Lens: [5816, 5803, 5813, 5803], ETA: 7.24h, 
[[34m2026-04-24 02:03:22[0m] (step=0000580) Train Loss mse: 0.2326, Train Loss ce: 0.0287, Train Steps/Sec: 0.17, Tokens/Sec: 31.56k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23238, Sample Lens: [5815, 5805, 5815, 5803], ETA: 7.23h, 
[[34m2026-04-24 02:04:21[0m] (step=0000590) Train Loss mse: 0.2385, Train Loss ce: 0.0286, Train Steps/Sec: 0.17, Tokens/Sec: 31.59k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23230, Sample Lens: [5813, 5803, 5809, 5805], ETA: 7.21h, 
[[34m2026-04-24 02:05:20[0m] (step=0000600) Train Loss mse: 0.2226, Train Loss ce: 0.0336, Train Steps/Sec: 0.17, Tokens/Sec: 31.54k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23233, Sample Lens: [5803, 5810, 5805, 5815], ETA: 7.20h, 
[[34m2026-04-24 02:06:19[0m] (step=0000610) Train Loss mse: 0.2254, Train Loss ce: 0.0366, Train Steps/Sec: 0.17, Tokens/Sec: 31.65k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23252, Sample Lens: [5810, 5817, 5808, 5817], ETA: 7.16h, 
[[34m2026-04-24 02:07:18[0m] (step=0000620) Train Loss mse: 0.2343, Train Loss ce: 0.0291, Train Steps/Sec: 0.17, Tokens/Sec: 31.60k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23253, Sample Lens: [5808, 5818, 5811, 5816], ETA: 7.16h, 
[[34m2026-04-24 02:08:17[0m] (step=0000630) Train Loss mse: 0.2161, Train Loss ce: 0.0328, Train Steps/Sec: 0.17, Tokens/Sec: 31.55k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23223, Sample Lens: [5803, 5803, 5813, 5804], ETA: 7.15h, 
[[34m2026-04-24 02:09:16[0m] (step=0000640) Train Loss mse: 0.2185, Train Loss ce: 0.0312, Train Steps/Sec: 0.17, Tokens/Sec: 31.50k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23240, Sample Lens: [5806, 5819, 5806, 5809], ETA: 7.15h, 
